script,tok,len,romanised
Kannada,ಟ್ರೇಡಿಂಗ್,3191,tredimg
Kannada,ಶ್ರೀ,2996,sri
Malayalam,ടെക്,2176,tek
Malayalam,ഇന്റർനാഷണൽ,1995,inrrnasnl
Malayalam,ഗ്ലോബൽ,1976,globl
Malayalam,എന്റർപ്രൈസസ്,1769,enrrpraiss
Malayalam,ഇൻഡസ്ട്രീസ്,1734,indstris
Malayalam,എൻജിനീയറിംഗ്,1707,enjiniyrimg
Malayalam,ഫുഡ്സ്,1687,phuds
Malayalam,കൺസ്ട്രക്ഷൻസ്,1622,knstrksns
Malayalam,സൊല്യൂഷൻസ്,1615,solyusns
Malayalam,ട്രേഡിംഗ്,1611,tredimg
Malayalam,ടെക്നോളജീസ്,1586,teknoljis
Malayalam,ലക്ഷ്മി,1493,lksmi
Oriya,ଗ୍ଲୋବାଲ୍,880,global
Oriya,ଟେକ୍,752,tek
Oriya,ଇଣ୍ଟରନ୍ୟାସନାଲ୍,737,intrnyasnal
Oriya,ଫୁଡ୍ସ୍,719,phuds
Oriya,ଇଣ୍ଡଷ୍ଟ୍ରିଜ୍,679,indstrij
Oriya,ସଲ୍ୟୁସନ୍ସ୍,677,slyusns
Oriya,ଟେକ୍ନୋଲୋଜିସ୍,655,teknolojis
Oriya,କନଷ୍ଟ୍ରକସନ୍ସ୍,650,knstrksns
Oriya,ଇଞ୍ଜିନିୟରିଂ,646,injiniyrim
Oriya,ଏଣ୍ଟରପ୍ରାଇଜେସ୍,601,entrpraijes
Oriya,ଶ୍ରୀ,593,sri
Oriya,ଟ୍ରେଡିଂ,591,tredim
Tamil,குளோபல்,3562,kulopl
Tamil,டெக்,3466,tek
Tamil,இன்டர்நேஷனல்,3451,intrnesnl
Tamil,எண்டர்பிரைசஸ்,3051,entrpiraics
Tamil,இன்ஜினியரிங்,3022,injiniyrin
Tamil,கன்ஸ்ட்ரக்ஷன்ஸ்,2990,knstrksns
Tamil,ஃபுட்ஸ்,2944,kputs
Tamil,டெக்னாலஜீஸ்,2918,teknaljis
Tamil,சொல்யூஷன்ஸ்,2839,colyusns
Tamil,டிரேடிங்,2816,tiretin
Tamil,இண்டஸ்ட்ரீஸ்,2808,intstris
Tamil,ஜெய்,2701,jey
Telugu,గ్లోబల్,4195,globl
Telugu,టెక్,4064,tek
Telugu,ఇంటర్నేషనల్,4025,imtrnesnl
Telugu,టెక్నాలజీస్,3518,teknaljis
Telugu,ఫుడ్స్,3516,phuds
Telugu,కన్స్ట్రక్షన్స్,3509,knstrksns
Telugu,ఇండస్ట్రీస్,3442,imdstris
Telugu,ఇంజనీరింగ్,3346,imjnirimg
Telugu,సొల్యూషన్స్,3296,solyusns
Telugu,ఎంటర్ప్రైజెస్,3240,emtrpraijes
Telugu,ట్రేడింగ్,3235,tredimg
Telugu,శ్రీ,2896,sri
